Country,Year,CPI_General,CPI_Food
"Congo, Dem. Rep.",2005,58.6,
"Congo, Rep.",2005,83.1,
Costa Rica,2005,63.5,
Cote d’Ivoire,2005,88.1,75.5
Croatia,2005,85.8,
Curaçao,2005,84.3,
Cyprus,2005,88.6,
Czechia,2005,87,89.9
Denmark,2005,90,86.4
Djibouti,2005,77.8,
Dominica,2005,86.2,
Dominican Republic,2005,73.4,74.6
Ecuador,2005,80.2,70.7
Egypt,2005,57.8,
El Salvador,2005,84.2,
Equatorial Guinea,2005,77.5,
Estonia,2005,79.1,77.1
Eswatini,2005,69.5,
Ethiopia,2005,0,43
Fiji,2005,80.8,
Finland,2005,91.2,90.3
France,2005,92.8,91.5
Gabon,2005,88.7,
Gambia,2005,81.1,
Georgia,2005,70,
Germany,2005,92.5,89.1
Ghana,2005,52.6,
Greece,2005,85.3,86.9
Grenada,2005,82.9,74
Guatemala,2005,74.6,
Guinea,2005,42.2,
Guinea-Bissau,2005,84.2,
Guyana,2005,72.4,
Haiti,2005,66.8,
Honduras,2005,72,70.8
Hong Kong,2005,89.5,
Hungary,2005,76.9,
Iceland,2005,67.1,65.9
India,2005,66,
Indonesia,2005,68.7,
Iraq,2005,58.6,
Ireland,2005,93.1,97.7
Israel,2005,87.8,79.3
Italy,2005,91,88.9
Jamaica,2005,56,51.7
Japan,2005,100.4,96.8
Jordan,2005,74.5,
Kazakhstan,2005,61.5,58.6
Kenya,2005,55.5,
Korea,2005,86.2,80.8
Kuwait,2005,76.1,
Kyrgyzstan,2005,59.8,55.9
Lao,2005,78.5,
Latvia,2005,72.1,69.1
Lesotho,2005,71,61.9
Liberia,2005,61.8,
Libya,2005,79.8,
Lithuania,2005,77.7,72.2
Luxembourg,2005,89.7,87.7
Madagascar,2005,62.9,
Malawi,2005,64.2,
Malaysia,2005,87.7,
Mali,2005,85.9,
Malta,2005,88.9,
Mauritius,2005,72.9,
Mexico,2005,80.5,74.4
Micronesia (Fed. States of),2005,77.6,
Mongolia,2005,57.3,
Montenegro,2005,82.2,
Montserrat,2005,86.8,
Morocco,2005,89.7,
Myanmar,2005,44.5,
Namibia,2005,71.4,63
Netherlands,2005,92.7,91.3
New Zealand,2005,87,
Nicaragua,2005,62.9,57
Nigeria,2005,61.4,
North Macedonia,2005,86.8,83.1
Norway,2005,89.3,88.3
Oman,2005,76,
Pakistan,2005,55.8,
Palau,2005,80.5,73.6
Panama,2005,81.3,74
Papua New Guinea,2005,77.1,
Paraguay,2005,71.4,58.2
Peru,2005,87.1,
Portugal,2005,91.8,95.1
Romania,2005,74.1,
Russian Federation,2005,61.4,58.4
Saint Vincent & Grenadines,2005,81.5,
Samoa,2005,76.4,
Sao Tome and Principe,2005,39.2,
Saudi Arabia,2005,81.4,73
Senegal,2005,87.1,
Serbia,2005,65.2,
Seychelles,2005,54.1,
Singapore,2005,88,85.6
Slovakia,2005,86.8,89.6
Slovenia,2005,86.8,81.3
Solomon Islands,2005,65.8,
South Africa,2005,74.3,67.1
Spain,2005,89,89.2
Sri Lanka,2005,58.3,
State of Palestine,2005,80.7,71.8
Sudan,2005,56.6,
Suriname,2005,69,
Sweden,2005,92.7,87.2
Switzerland,2005,95.7,97.8
Tanzania,2005,66.3,
Thailand,2005,86.6,
Timor-Leste,2005,74.4,
Togo,2005,84.7,81.5
Tonga,2005,76.7,75.7
Trinidad and Tobago,2005,64.6,39.9
Tunisia,2005,81.6,
Turkiye,2005,65.9,60.2
Ukraine,2005,51.2,
United Kingdom,2005,87.4,78.5
United States,2005,89.6,87.9
Uruguay,2005,70.5,64.3
Vanuatu,2005,83.9,
Vietnam,2005,59.9,
Yemen,2005,60,
Zambia,2005,59.9,
Afghanistan,2010,100,
Aland Islands Islands,2010,100,100
Albania,2010,100,100
Algeria,2010,100,100
Andorra,2010,100,100
Angola,2010,100,100
Anguilla,2010,100,100
Antigua and Barbuda,2010,100,
Armenia,2010,100,100
Aruba,2010,100,100
Australia,2010,100,100
Austria,2010,100,100
Azerbaijan,2010,100,100
Bahamas,2010,100,
Bahrain,2010,100,100
Bangladesh,2010,100,
Barbados,2010,100,
Belarus,2010,100,100
Belgium,2010,100,100
Belize,2010,100,100
Benin,2010,100,100
Bhutan,2010,100,
Bolivia,2010,100,100
Bosnia and Herzegovina,2010,100,100
Botswana,2010,100,100
Brazil,2010,100,100
Brunei Darussalam,2010,100,100
Bulgaria,2010,100,100
Burkina Faso,2010,100,
Burundi,2010,100,100
Cabo Verde,2010,100,100
Cambodia,2010,100,
Cameroon,2010,100,
Canada,2010,100,100
Cayman Islands,2010,100,100
Central African Republic,2010,100,
Chad,2010,100,
Chile,2010,100,100
China,2010,100,100
"China, Macao SAR",2010,100,100
Colombia,2010,100,100
Comoros,2010,100,100
"Congo, Dem. Rep.",2010,100,
"Congo, Rep.",2010,100,
Cook Islands,2010,100,100
Costa Rica,2010,100,100
Cote d’Ivoire,2010,100,100
Croatia,2010,100,116.6
Curaçao,2010,100,100
Cyprus,2010,100,100
Czechia,2010,100,100
Denmark,2010,100,100
Djibouti,2010,100,
Dominica,2010,100,
Dominican Republic,2010,100,100
Ecuador,2010,100,100
Egypt,2010,100,
El Salvador,2010,100,
Equatorial Guinea,2010,100,100
Estonia,2010,100,100
Eswatini,2010,100,
Ethiopia,2010,100,100
Fiji,2010,100,100
Finland,2010,100,100
France,2010,100,100
French Guiana,2010,100,100
Gabon,2010,100,100
Gambia,2010,100,
Georgia,2010,100,100
Germany,2010,100,100
Ghana,2010,100,
Greece,2010,100,100
Grenada,2010,100,100
Guadeloupe,2010,100,100
Guam,2010,100,100
Guatemala,2010,100,
Guinea,2010,100,100
Guinea-Bissau,2010,100,
Guyana,2010,100,
Haiti,2010,100,100
Honduras,2010,100,100
Hong Kong,2010,100,100
Hungary,2010,100,100
Iceland,2010,100,100
India,2010,100,
Indonesia,2010,100,
Iraq,2010,100,100
Ireland,2010,100,100
Israel,2010,100,100
Italy,2010,100,100
Jamaica,2010,100,100
Japan,2010,100,100
Jordan,2010,100,100
Kazakhstan,2010,100,100
Kenya,2010,100,100
Kiribati,2010,100,100
Korea,2010,100,100
Kuwait,2010,100,100
Kyrgyzstan,2010,100,100
Lao,2010,100,100
Latvia,2010,100,100
Lebanon,2010,100,100
Lesotho,2010,100,100
Liberia,2010,100,100
Libya,2010,100,
Lithuania,2010,100,100
Luxembourg,2010,100,100
Madagascar,2010,100,
Malawi,2010,100,
Malaysia,2010,100,100
Maldives,2010,100,100
Mali,2010,100,100
Malta,2010,100,
Martinique,2010,100,100
Mauritius,2010,100,100
Mexico,2010,100,100
Micronesia (Fed. States of),2010,100,
Moldova,2010,100,100
Mongolia,2010,100,100
Montenegro,2010,100,100
Montserrat,2010,100,
Morocco,2010,100,100
Mozambique,2010,100,100
Myanmar,2010,100,
Namibia,2010,100,100
Nauru,2010,100,
Netherlands,2010,100,100
New Caledonia,2010,100,100
New Zealand,2010,100,100
Nicaragua,2010,100,100
Nigeria,2010,100,100
North Macedonia,2010,100,100
Norway,2010,100,100
Oman,2010,100,100
Pakistan,2010,100,100
Palau,2010,100,100
Panama,2010,100,100
Papua New Guinea,2010,100,100
Paraguay,2010,100,100
Peru,2010,100,
Poland,2010,100,100
Portugal,2010,100,100
Puerto Rico,2010,100,100
Réunion,2010,100,100
Romania,2010,100,
Russian Federation,2010,100,100
Rwanda,2010,100,100
Saint Kitts and Nevis,2010,100,100
Saint Lucia,2010,100,
Saint Vincent & Grenadines,2010,100,100
Samoa,2010,100,
Sao Tome and Principe,2010,100,
Saudi Arabia,2010,100,100
Senegal,2010,100,100
Serbia,2010,100,100
Seychelles,2010,100,100
Sierra Leone,2010,100,100
Singapore,2010,100,100
Slovakia,2010,100,100
Slovenia,2010,100,100
Solomon Islands,2010,100,
South Africa,2010,100,100
South Sudan,2010,100,100
Spain,2010,100,100
Sri Lanka,2010,100,100
State of Palestine,2010,100,100
Sudan,2010,100,
Suriname,2010,100,100
Sweden,2010,100,100
Switzerland,2010,100,100
Syria,2010,100,100
Tajikistan,2010,100,100
Tanzania,2010,100,
Thailand,2010,100,100
Timor-Leste,2010,100,
Togo,2010,100,100
Tonga,2010,100,100
Trinidad and Tobago,2010,100,100
Tunisia,2010,100,100
Turkiye,2010,100,100
Tuvalu,2010,100,
Ukraine,2010,100,100
United Arab Emirates,2010,100,100
United Kingdom,2010,100,100
United States,2010,100,100
Uruguay,2010,100,100
Vanuatu,2010,100,100
Venezuela,2010,100,100
Vietnam,2010,100,
Yemen,2010,100,
Zambia,2010,100,
Zimbabwe,2010,100,100
Afghanistan,2015,132.9,100.8
Aland Islands Islands,2015,108.6,114.3
Albania,2015,111.4,118.8
Algeria,2015,126.7,131.3
Andorra,2015,103.3,108.2
Angola,2015,159.4,167.3
Anguilla,2015,105.1,111.4
Antigua and Barbuda,2015,110.3,
Armenia,2015,124.8,127.1
Aruba,2015,103.4,85.4
Australia,2015,112,107.6
Austria,2015,110.7,114.4
Azerbaijan,2015,117.7,119.6
Bahamas,2015,109.6,106.5
Bahrain,2015,110.6,114.5
Bangladesh,2015,144.6,230.3
Barbados,2015,167.6,200.7
Belarus,2015,387,389.9
Belgium,2015,108.6,110.4
Belize,2015,103.8,104.8
Benin,2015,109.7,113
Bhutan,2015,87.6,82.5
Bolivia,2015,133.7,145.8
Bosnia and Herzegovina,2015,103.7,104.1
Botswana,2015,132.9,126.9
Brazil,2015,138.4,154.4
Brunei Darussalam,2015,99.9,100.7
Bulgaria,2015,106.6,112.5
Burkina Faso,2015,107.8,
Burundi,2015,154,147.1
Cabo Verde,2015,108.6,109
Cambodia,2015,117.5,
Cameroon,2015,112.9,109.8
Canada,2015,108.7,114.2
Cayman Islands,2015,103.6,115.8
Central African Republic,2015,133.1,
Chad,2015,116.7,110.9
Chile,2015,118.4,137.4
China,2015,114.9,129.4
"China, Macao SAR",2015,131.3,139.2
Colombia,2015,117.6,121.5
"Congo, Dem. Rep.",2015,130.1,122
"Congo, Rep.",2015,116.4,
Cook Islands,2015,108.9,107.8
Costa Rica,2015,121.5,122.1
Cote d’Ivoire,2015,110.9,111.9
Croatia,2015,107.4,109.3
Curaçao,2015,108.1,124.8
Cyprus,2015,101.7,103.6
Czechia,2015,107.5,118.4
Denmark,2015,107.1,109.1
Djibouti,2015,112.5,
Dominica,2015,102.4,110.9
Dominican Republic,2015,122.5,133
Ecuador,2015,121.5,125.2
Egypt,2015,156.8,194.1
El Salvador,2015,108.2,
Equatorial Guinea,2015,118.6,123.4
Estonia,2015,111.5,118
Eswatini,2015,135.4,113.6
Ethiopia,2015,205,222.9
Fiji,2015,116.4,127.5
Finland,2015,108.8,115.7
France,2015,105.6,105.7
French Guiana,2015,105.4,109.7
Gabon,2015,109,115.9
Gambia,2015,130.7,186
Georgia,2015,114.7,120.5
Germany,2015,106.9,112.3
Ghana,2015,182.6,123.2
Greece,2015,100.8,104.8
Grenada,2015,103.9,110.5
Guadeloupe,2015,106.1,109.3
Guam,2015,106.3,125.2
Guatemala,2015,121.8,147
Guinea,2015,185.6,204.5
Guinea-Bissau,2015,108.5,
Guyana,2015,109.4,
Haiti,2015,139,142.2
Honduras,2015,129.3,126.6
Hong Kong,2015,123,127.9
Hungary,2015,111.4,116.6
Iceland,2015,117.8,119.6
India,2015,148.6,127.7
Indonesia,2015,132.3,128
Iran,2015,91.6,91.5
Iraq,2015,118.5,112.8
Ireland,2015,104.7,98.3
Israel,2015,106.7,108.8
Italy,2015,107.5,108.8
Jamaica,2015,141.1,157.2
Japan,2015,103.6,106.6
Jordan,2015,116.4,115.2
Kazakhstan,2015,137.3,136.8
Kenya,2015,150.2,172.1
Kiribati,2015,99.5,94.1
Korea,2015,109.8,115.6
Kuwait,2015,118.1,124.7
Kyrgyzstan,2015,146.4,141.7
Lao,2015,125.8,146.6
Latvia,2015,107.6,110.7
Lebanon,2015,115,118.5
Lesotho,2015,127,138.4
Liberia,2015,147.6,162.5
Lithuania,2015,107.6,113.3
Luxembourg,2015,109.2,110.5
Madagascar,2015,139.5,140.4
Malawi,2015,250.6,185.1
Malaysia,2015,112.8,119.4
Maldives,2015,132,153
Mali,2015,110.3,112.9
Malta,2015,108.2,
Martinique,2015,106.3,110.3
Mauritius,2015,119.8,120.8
Mexico,2015,119.4,129.9
Micronesia (Fed. States of),2015,112.7,
Moldova,2015,135.8,137.1
Mongolia,2015,163.8,161.4
Montenegro,2015,111,114.3
Montserrat,2015,107.9,99.1
Morocco,2015,106.2,107.4
Mozambique,2015,126.3,134.4
Myanmar,2015,129.3,127.9
Namibia,2015,128.9,139.4
Nepal,2015,103.7,104.4
Netherlands,2015,109.3,107.4
New Caledonia,2015,106.3,110.6
New Zealand,2015,107.9,106
Nicaragua,2015,136.9,146.5
Niger,2015,107.3,122.4
Nigeria,2015,158.9,161.3
North Macedonia,2015,109.7,111.6
Norway,2015,108.6,108.4
Oman,2015,109.4,110.8
Pakistan,2015,145.3,143
Palau,2015,117.9,116.4
Panama,2015,119.6,122.6
Papua New Guinea,2015,127.8,106.4
Paraguay,2015,124.8,125.8
Peru,2015,117.7,
Philippines,2015,107,110.5
Poland,2015,108.1,109.1
Portugal,2015,107,107
Puerto Rico,2015,105.2,111.1
Qatar,2015,105.2,101.1
Réunion,2015,104.7,110.5
Romania,2015,114.2,131
Russian Federation,2015,151.5,161.7
Rwanda,2015,122.1,132.2
Saint Kitts and Nevis,2015,105.7,102.2
Saint Lucia,2015,111.4,102.4
Saint Vincent & Grenadines,2015,105.1,109.5
Samoa,2015,108.4,
San Marino,2015,107.7,121.3
Sao Tome and Principe,2015,154,
Saudi Arabia,2015,96.4,96
Senegal,2015,104.6,110.9
Serbia,2015,133,133.2
Seychelles,2015,120.9,116.7
Sierra Leone,2015,134.1,137.8
Singapore,2015,113.2,112.9
Slovakia,2015,108.7,113.2
Slovenia,2015,105.9,113.2
Solomon Islands,2015,125.3,552.5
South Africa,2015,130.1,137.2
South Sudan,2015,331.7,349.4
Spain,2015,106.5,108.2
Sri Lanka,2015,109.5,110.7
State of Palestine,2015,111,107.8
Sudan,2015,349.8,501.5
Suriname,2015,139.2,141.8
Sweden,2015,103.6,107.9
Switzerland,2015,98.2,97.1
Syria,2015,448.8,512.1
Tajikistan,2015,140.2,146.8
Tanzania,2015,158,96.6
Thailand,2015,110.3,123
Timor-Leste,2015,142.9,105.7
Togo,2015,111.2,106.6
Tonga,2015,109.9,116.3
Trinidad and Tobago,2015,133.6,170.9
Tunisia,2015,126.7,100
Turkiye,2015,146.1,157.3
Uganda,2015,150.8,160.7
Ukraine,2015,180.5,166.6
United Arab Emirates,2015,109.3,118.3
United Kingdom,2015,111.9,109.8
United States,2015,108.7,112.2
Uruguay,2015,150.1,158.8
Vanuatu,2015,107.1,109.2
Venezuela,2015,772,1487.2
Vietnam,2015,144.6,
Zambia,2015,144,151.2
Zimbabwe,2015,106.2,103.6
Afghanistan,2019,149.9,
Aland Islands Islands,2019,113.3,117.6
Albania,2019,119.1,134.6
Algeria,2019,151.4,146.5
Andorra,2019,105.8,115.8
Angola,2019,378.9,
Anguilla,2019,107.1,116
Antigua and Barbuda,2019,115.4,
Argentina,2019,232.8,234.8
Armenia,2019,129.2,
Aruba,2019,109.2,135.5
Australia,2019,119.8,112.9
Austria,2019,118.1,121
Azerbaijan,2019,156.9,166.7
Bahamas,2019,116.2,
Bahrain,2019,118.8,122.4
Bangladesh,2019,179.7,289.2
Barbados,2019,191.7,248.6
Belarus,2019,508.1,501.7
Belgium,2019,117.1,117.7
Belize,2019,106.2,103.8
Benin,2019,110.7,
Bhutan,2019,100.2,100.3
Bolivia,2019,148.3,168.5
Bosnia and Herzegovina,2019,104.9,
Botswana,2019,149.7,136
Brazil,2019,167.4,185.4
Brunei Darussalam,2019,99,
Bulgaria,2019,114.4,125.4
Burkina Faso,2019,108.4,
Burundi,2019,182.1,
Cabo Verde,2019,110.5,110.1
Cambodia,2019,130.1,
Cameroon,2019,118.6,
Canada,2019,116.8,122.1
Cayman Islands,2019,114.6,124.7
Central African Republic,2019,151.8,
Chad,2019,117.7,95.2
Chile,2019,131.9,153.8
China,2019,108.8,114.6
"China, Macao SAR",2019,144,155.2
Colombia,2019,140.9,146.3
"Congo, Rep.",2019,124.7,
Cook Islands,2019,108.7,111.6
Costa Rica,2019,128.8,126.2
Cote d’Ivoire,2019,111.6,
Croatia,2019,109.8,113
Curaçao,2019,115.6,142.7
Cyprus,2019,102.5,104.2
Czechia,2019,116.5,128.6
Denmark,2019,110.3,113.8
Djibouti,2019,120.3,
Dominica,2019,105.4,
Dominican Republic,2019,135.5,149.4
Ecuador,2019,124.1,127
Egypt,2019,288.6,
El Salvador,2019,111.2,
Equatorial Guinea,2019,124.3,
Estonia,2019,122.1,132.4
Eswatini,2019,166.8,
Ethiopia,2019,319,353.7
Fiji,2019,132.3,143.6
Finland,2019,112.3,116.9
France,2019,110,112.2
French Guiana,2019,108.3,113.8
Gabon,2019,122.6,
Gambia,2019,172.7,
Georgia,2019,131.1,
Germany,2019,105.2,107.2
Ghana,2019,278.5,
Greece,2019,101.9,105.2
Grenada,2019,108.1,
Guadeloupe,2019,109.3,116.4
Guam,2019,120.5,128.2
Guatemala,2019,142.9,203.5
Guinea,2019,262.9,
Guinea-Bissau,2019,112.7,
Guyana,2019,116.2,
Haiti,2019,122.9,127.3
Honduras,2019,150.3,
Hong Kong,2019,134.7,146.4
Hungary,2019,121.6,132.4
Iceland,2019,129,125.8
India,2019,180.4,144.2
Indonesia,2019,151.2,147.7
Iran,2019,175.4,210.4
Iraq,2019,119.6,
Ireland,2019,106.6,92.5
Israel,2019,108.1,111.3
Italy,2019,110.6,113.3
Jamaica,2019,162.5,188.9
Japan,2019,105.5,111.2
Jordan,2019,125,114.4
Kazakhstan,2019,188.5,
Kenya,2019,190,
Kiribati,2019,100.5,
Korea,2019,115.2,125.7
Kuwait,2019,126.6,108.8
Kyrgyzstan,2019,155.7,134.6
Lao,2019,135.9,
Latvia,2019,116.9,122.3
Lebanon,2019,130,
Lesotho,2019,155.9,
Lithuania,2019,118.4,124
Luxembourg,2019,115.1,119.5
Madagascar,2019,124.6,127
Malawi,2019,418.3,
Malaysia,2019,121.5,133
Maldives,2019,136.6,
Mali,2019,108.7,
Malta,2019,113.5,
Martinique,2019,109.3,116
Mauritania,2019,110.5,114.7
Mauritius,2019,130,134.9
Mexico,2019,141.5,158.1
Moldova,2019,166.3,180.8
Mongolia,2019,120.4,121.9
Montenegro,2019,116.7,119.5
Montserrat,2019,109.2,
Morocco,2019,101.8,100.6
Mozambique,2019,182.3,205.5
Myanmar,2019,168.2,
Namibia,2019,158,175.4
Nepal,2019,128.4,123.7
Netherlands,2019,115.9,116.8
New Caledonia,2019,110.2,110.7
New Zealand,2019,114.2,108.7
Nicaragua,2019,162.7,162.9
Niger,2019,101.5,97.5
Nigeria,2019,267.5,287.5
North Macedonia,2019,113.4,112.8
Norway,2019,120.3,115.2
Oman,2019,113.5,
Pakistan,2019,182.3,169.8
Palau,2019,121.1,
Panama,2019,122.1,
Papua New Guinea,2019,155.9,
Paraguay,2019,143.8,148
Peru,2019,130.3,
Philippines,2019,120.2,126.2
Poland,2019,113.9,123.8
Portugal,2019,110.6,110.4
Qatar,2019,108.1,101
Réunion,2019,107.7,116.4
Romania,2019,123.8,108.5
Russian Federation,2019,180.7,188.6
Rwanda,2019,140.5,160.1
Saint Kitts and Nevis,2019,104.3,100
Saint Lucia,2019,110.7,103
Saint Vincent & Grenadines,2019,110.7,
Samoa,2019,117.6,
San Marino,2019,112.5,138.2
Saudi Arabia,2019,97.9,102.1
Senegal,2019,109.3,
Serbia,2019,144,143.3
Seychelles,2019,130,116.9
Sierra Leone,2019,234.2,237
Singapore,2019,114.4,120.4
Slovakia,2019,115.3,123.6
Slovenia,2019,111.1,121.8
Solomon Islands,2019,133.1,
South Africa,2019,158.7,173.8
South Sudan,2019,15749.2,
Spain,2019,111,114.1
Sri Lanka,2019,129.6,127.6
State of Palestine,2019,112.5,107.9
Sudan,2019,1344.2,
Suriname,2019,294.8,304.2
Sweden,2019,110.5,117.2
Switzerland,2019,99.5,99.2
Syria,2019,896.2,1089.1
Tajikistan,2019,178.6,192.2
Tanzania,2019,187.4,
Thailand,2019,113.3,128.4
Timor-Leste,2019,146.2,
Togo,2019,113.3,
Trinidad and Tobago,2019,143.2,
Tunisia,2019,158.8,124.4
Turkiye,2019,233.5,264.5
Uganda,2019,107.6,104.3
Ukraine,2019,281.9,246
United Arab Emirates,2019,114.5,
United Kingdom,2019,120.6,113.4
United States,2019,117.2,112
Uruguay,2019,202.9,210.9
Uzbekistan,2019,153.3,165.6
Vanuatu,2019,117.1,131.8
Venezuela,2019,1931.5,6268.9
Vietnam,2019,163.5,
Zambia,2019,212.3,
Zimbabwe,2019,414.7,
Aland Islands Islands,2020,112.8,118.4
Albania,2020,121,139.4
Algeria,2020,155,146.8
Andorra,2020,106.2,118.7
Anguilla,2020,106.6,117.4
Antigua and Barbuda,2020,116.2,
Argentina,2020,330.5,345
Armenia,2020,130.7,
Aruba,2020,107.8,134.8
Australia,2020,120.8,116.6
Austria,2020,119.8,123.8
Azerbaijan,2020,161.2,174.1
Bahamas,2020,116.3,
Bahrain,2020,116.1,126.7
Bangladesh,2020,189.9,305.9
Barbados,2020,181,245.8
Belarus,2020,536.2,523.2
Belgium,2020,118,121.1
Belize,2020,106.3,104.9
Benin,2020,114.1,
Bhutan,2020,105.8,111.7
Bolivia,2020,149.7,167.4
Bosnia and Herzegovina,2020,103.8,
Botswana,2020,152.6,141.1
Brazil,2020,172.8,202.2
Brunei Darussalam,2020,100.9,
Bulgaria,2020,116.3,132.2
Burkina Faso,2020,110.4,
Burundi,2020,195.4,
Cabo Verde,2020,111.2,111.9
Cambodia,2020,133.9,
Cameroon,2020,121.5,
Canada,2020,117.6,124.9
Cayman Islands,2020,115.7,131
Central African Republic,2020,154.4,
Chad,2020,122.9,104.2
Chile,2020,135.9,164.2
China,2020,111.6,
"China, Macao SAR",2020,145.2,160.4
Colombia,2020,144.5,154.4
"Congo, Rep.",2020,127,
Cook Islands,2020,109.7,114.6
Costa Rica,2020,129.8,126.8
Cote d’Ivoire,2020,114.3,
